"species","major_group"
"Acroteriobatus annulatus","ray"
"Acroteriobatus blochii","ray"
"Acroteriobatus leucospilus","ray"
"Acroteriobatus ocellatus","ray"
"Acroteriobatus salalah","ray"
"Acroteriobatus variegatus","ray"
"Acroteriobatus zanzibarensis","ray"
"Aculeola nigra","shark"
"Aetobatus flagellum","ray"
"Aetobatus narinari","ray"
"Aetomylaeus maculatus","ray"
"Aetomylaeus nichofii","ray"
"Aetomylaeus vespertilio","ray"
"Alopias pelagicus","shark"
"Alopias superciliosus","shark"
"Alopias vulpinus","shark"
"Amblyraja badia","ray"
"Amblyraja doellojuradoi","ray"
"Amblyraja frerichsi","ray"
"Amblyraja georgiana","ray"
"Amblyraja hyperborea","ray"
"Amblyraja jenseni","ray"
"Amblyraja radiata","ray"
"Amblyraja reversa","ray"
"Amblyraja robertsi","ray"
"Amblyraja taaf","ray"
"Anacanthobatis americanus","ray"
"Anacanthobatis donghaiensis","ray"
"Anacanthobatis folirostris","ray"
"Anacanthobatis longirostris","ray"
"Anacanthobatis marmoratus","ray"
"Anacanthobatis nanhaiensis","ray"
"Anacanthobatis ori","ray"
"Anacanthobatis stenosoma","ray"
"Anoxypristis cuspidata","ray"
"Apristurus albisoma","shark"
"Apristurus ampliceps","shark"
"Apristurus aphyodes","shark"
"Apristurus australis","shark"
"Apristurus brunneus","shark"
"Apristurus bucephalus","shark"
"Apristurus canutus","shark"
"Apristurus exsanguis","shark"
"Apristurus fedorovi","shark"
"Apristurus gibbosus","shark"
"Apristurus herklotsi","shark"
"Apristurus indicus","shark"
"Apristurus internatus","shark"
"Apristurus investigatoris","shark"
"Apristurus japonicus","shark"
"Apristurus kampae","shark"
"Apristurus laurussonii","shark"
"Apristurus longicephalus","shark"
"Apristurus macrorhynchus","shark"
"Apristurus macrostomus","shark"
"Apristurus manis","shark"
"Apristurus melanoasper","shark"
"Apristurus microps","shark"
"Apristurus micropterygeus","shark"
"Apristurus nasutus","shark"
"Apristurus parvipinnis","shark"
"Apristurus pinguis","shark"
"Apristurus platyrhynchus","shark"
"Apristurus profundorum","shark"
"Apristurus riveri","shark"
"Apristurus saldanha","shark"
"Apristurus sibogae","shark"
"Apristurus sinensis","shark"
"Apristurus spongiceps","shark"
"Apristurus stenseni","shark"
"Aptychotrema rostrata","ray"
"Aptychotrema timorensis","ray"
"Aptychotrema vincentiana","ray"
"Arhynchobatis asperrimus","ray"
"Asymbolus analis","shark"
"Asymbolus funebris","shark"
"Asymbolus galacticus","shark"
"Asymbolus occiduus","shark"
"Asymbolus pallidus","shark"
"Asymbolus parvus","shark"
"Asymbolus rubiginosus","shark"
"Asymbolus submaculatus","shark"
"Asymbolus vincenti","shark"
"Atelomycterus baliensis","shark"
"Atelomycterus fasciatus","shark"
"Atelomycterus macleayi","shark"
"Atelomycterus marmoratus","shark"
"Atelomycterus marnkalha","shark"
"Atlantoraja castelnaui","ray"
"Atlantoraja cyclophora","ray"
"Atlantoraja platana","ray"
"Aulohalaelurus kanakorum","shark"
"Aulohalaelurus labiosus","shark"
"Bathyraja abyssicola","ray"
"Bathyraja aguja","ray"
"Bathyraja aleutica","ray"
"Bathyraja andriashevi","ray"
"Bathyraja bergi","ray"
"Bathyraja brachyurops","ray"
