"species","scientificname","valid_name","status","rank","class","order","family","genus"
"Callorhinchus callorynchus","Callorhinchus callorynchus","Callorhinchus callorynchus","accepted","Species","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus"
"Callorhinchus milii","Callorhinchus milii","Callorhinchus milii","accepted","Species","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus"
"Callorhinchus capensis","Callorhinchus capensis","Callorhinchus capensis","accepted","Species","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus"
"Neoharriotta pinnata","Neoharriotta pinnata","Neoharriotta pinnata","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta"
"Neoharriotta pumila","Neoharriotta pumila","Neoharriotta pumila","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta"
"Neoharriotta carri","Neoharriotta carri","Neoharriotta carri","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta"
"Harriotta raleighana","Harriotta raleighana","Harriotta raleighana","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Harriotta"
"Harriotta haeckeli","Harriotta haeckeli","Harriotta raleighana","unaccepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Harriotta"
"Rhinochimaera pacifica","Rhinochimaera pacifica","Rhinochimaera pacifica","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera"
"Rhinochimaera africana","Rhinochimaera africana","Rhinochimaera africana","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera"
"Rhinochimaera atlantica","Rhinochimaera atlantica","Rhinochimaera atlantica","accepted","Species","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera"
"Hydrolagus mitsukurii","Hydrolagus mitsukurii","Hydrolagus mitsukurii","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus africanus","Hydrolagus africanus","Hydrolagus africanus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus matallanasi","Hydrolagus matallanasi","Hydrolagus matallanasi","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus pallidus","Hydrolagus pallidus","Hydrolagus pallidus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus alberti","Hydrolagus alberti","Hydrolagus alberti","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus alphus","Hydrolagus alphus","Hydrolagus alphus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera bahamaensis","Chimaera bahamaensis","Chimaera bahamaensis","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera jordani","Chimaera jordani","Chimaera jordani","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera cubana","Chimaera cubana","Chimaera cubana","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera phantasma","Chimaera phantasma","Chimaera phantasma","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus lemures","Hydrolagus lemures","Chimaera ogilbyi","unaccepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus ogilbyi","Hydrolagus ogilbyi","Chimaera ogilbyi","unaccepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera owstoni","Chimaera owstoni","Chimaera owstoni","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus melanophasma","Hydrolagus melanophasma","Hydrolagus melanophasma","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus macrophthalmus","Hydrolagus macrophthalmus","Hydrolagus macrophthalmus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus purpurescens","Hydrolagus purpurescens","Hydrolagus purpurescens","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus marmoratus","Hydrolagus marmoratus","Hydrolagus marmoratus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus trolli","Hydrolagus trolli","Hydrolagus trolli","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus affinis","Hydrolagus affinis","Hydrolagus affinis","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus mirabilis","Hydrolagus mirabilis","Hydrolagus mirabilis","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus novaezealandiae","Hydrolagus novaezealandiae","Hydrolagus novaezealandiae","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera macrospina","Chimaera macrospina","Chimaera macrospina","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera monstrosa","Chimaera monstrosa","Chimaera monstrosa","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera fulva","Chimaera fulva","Chimaera fulva","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus lusitanicus","Hydrolagus lusitanicus","Hydrolagus lusitanicus","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera opalescens","Chimaera opalescens","Chimaera opalescens","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera lignaria","Chimaera lignaria","Chimaera lignaria","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Chimaera notafricana","Chimaera notafricana","Chimaera notafricana","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus mccoskeri","Hydrolagus mccoskeri","Hydrolagus mccoskeri","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera panthera","Chimaera panthera","Chimaera panthera","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus bemisi","Hydrolagus bemisi","Hydrolagus bemisi","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera obscura","Chimaera obscura","Chimaera obscura","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus deani","Hydrolagus deani","Hydrolagus deani","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus barbouri","Hydrolagus barbouri","Hydrolagus barbouri","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Chimaera argiloba","Chimaera argiloba","Chimaera argiloba","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Hydrolagus colliei","Hydrolagus colliei","Hydrolagus colliei","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus homonycteris","Hydrolagus homonycteris","Hydrolagus homonycteris","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Hydrolagus eidolon","Hydrolagus eidolon","Hydrolagus eidolon","accepted","Species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Sinobatis borneensis","Sinobatis borneensis","Sinobatis borneensis","accepted","Species","Elasmobranchii","Rajiformes","Anacanthobatidae","Sinobatis"
"Sinobatis filicauda","Sinobatis filicauda","Sinobatis filicauda","accepted","Species","Elasmobranchii","Rajiformes","Anacanthobatidae","Sinobatis"
"Sinobatis bulbicauda","Sinobatis bulbicauda","Sinobatis bulbicauda","accepted","Species","Elasmobranchii","Rajiformes","Anacanthobatidae","Sinobatis"
"Sinobatis melanosoma","Sinobatis melanosoma","Sinobatis melanosoma","accepted","Species","Elasmobranchii","Rajiformes","Anacanthobatidae","Sinobatis"
"Sinobatis caerulea","Sinobatis caerulea","Sinobatis caerulea","accepted","Species","Elasmobranchii","Rajiformes","Anacanthobatidae","Sinobatis"
"Irolita waitii","Irolita waitii","Irolita waitii","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Irolita"
"Irolita westraliensis","Irolita westraliensis","Irolita westraliensis","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Irolita"
"Brochiraja vittacauda","Brochiraja vittacauda","Brochiraja vittacauda","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja heuresa","Brochiraja heuresa","Brochiraja heuresa","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja aenigma","Brochiraja aenigma","Brochiraja aenigma","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja microspinifera","Brochiraja microspinifera","Brochiraja microspinifera","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja asperula","Brochiraja asperula","Brochiraja asperula","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja spinifera","Brochiraja spinifera","Brochiraja spinifera","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja leviveneta","Brochiraja leviveneta","Brochiraja leviveneta","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Brochiraja albilabiata","Brochiraja albilabiata","Brochiraja albilabiata","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Brochiraja"
"Pavoraja alleni","Pavoraja alleni","Pavoraja alleni","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Pavoraja umbrosa","Pavoraja umbrosa","Pavoraja umbrosa","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Pavoraja mosaica","Pavoraja mosaica","Pavoraja mosaica","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Pavoraja pseudonitida","Pavoraja pseudonitida","Pavoraja pseudonitida","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Pavoraja nitida","Pavoraja nitida","Pavoraja nitida","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Pavoraja arenaria","Pavoraja arenaria","Pavoraja arenaria","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Pavoraja"
"Notoraja sticta","Notoraja sticta","Notoraja sticta","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja longiventralis","Notoraja longiventralis","Notoraja longiventralis","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja inusitata","Notoraja inusitata","Notoraja inusitata","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja tobitukai","Notoraja tobitukai","Notoraja tobitukai","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja lira","Notoraja lira","Notoraja lira","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja alisae","Notoraja alisae","Notoraja alisae","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja azurea","Notoraja azurea","Notoraja azurea","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja ochroderma","Notoraja ochroderma","Notoraja ochroderma","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja sapphira","Notoraja sapphira","Notoraja sapphira","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
"Notoraja hirticauda","Notoraja hirticauda","Notoraja hirticauda","accepted","Species","Elasmobranchii","Rajiformes","Arhynchobatidae","Notoraja"
