"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Zanobatus_schoenleinii",188.530753024009,189.134158176953,21.2235358917863,1.2,1,100,1,"Zanobatus schoenleinii"
"Hypnos_monopterygius",162.641586025615,159.176651212908,29.3790286665828,2.72,2,100,1,"Hypnos monopterygius"
"Hexatrygon_bickelli",137.627250802167,137.487954337562,14.8071687048578,3.73,3,100,1,"Hexatrygon bickelli"
"Platyrhinoidis_triseriata",135.708988663987,135.087951684551,16.0577715738223,4.19,4,100,1,"Platyrhinoidis triseriata"
"Mitsukurina_owstoni",129.411746375605,135.464094040999,24.5190164659539,4.99,4,100,1,"Mitsukurina owstoni"
"Plesiobatis_daviesi",117.820879981398,118.09918753752,13.205584932093,7.79,8,100,1,"Plesiobatis daviesi"
"Anoxypristis_cuspidata",116.972731763834,125.545741149437,27.8106630049424,9.27,7,95,0.95,"Anoxypristis cuspidata"
"Carcharias_taurus",103.39903460905,107.559875999308,18.4367445795098,12.48,12,100,1,"Carcharias taurus"
"Notorynchus_cepedianus",103.410724485802,104.87653855816,14.8533261063967,12.95,12.5,95,0.95,"Notorynchus cepedianus"
"Leptocharias_smithii",103.912931441747,105.504111744875,23.673148706605,16.15,13,68,0.68,"Leptocharias smithii"
"Alopias_superciliosus",99.9229754464612,106.247182959075,21.2890750481972,17.4,14,77,0.77,"Alopias superciliosus"
"Cetorhinus_maximus",95.3954978354848,98.8145727814342,16.1598985604033,19.89,20,59,0.59,"Cetorhinus maximus"
"Rhina_ancylostoma",98.9138309904424,106.55589099403,23.3149395373682,19.91,14,75,0.75,"Rhina ancylostoma"
"Chlamydoselachus_anguineus",95.1261754065078,91.2888706830084,16.3156448554668,22.26,21,49,0.49,"Chlamydoselachus anguineus"
"Chlamydoselachus_africana",95.1261754065078,91.2888706830084,16.3156448554668,23.26,22,48,0.48,"Chlamydoselachus africana"
"Brachaelurus_colcloughi",91.9660232958534,97.3689277192497,16.9502424577073,24.38,23,28,0.28,"Brachaelurus colcloughi"
"Pliotrema_warreni",92.5401266121353,97.2848405160258,18.2176021546398,24.8,23,32,0.32,"Pliotrema warreni"
"Hemipristis_elongata",91.6550978372017,95.1657169689904,16.1222615103009,25.07,25,12,0.12,"Hemipristis elongata"
"Brachaelurus_waddi",91.9660232958534,97.3689277192497,16.9502424577073,25.38,24,22,0.22,"Brachaelurus waddi"
"Trigonognathus_kabeyai",91.1287915284328,94.9785521144084,18.8298191415231,26.81,28,24,0.24,"Trigonognathus kabeyai"
"Pristis_pristis",92.631614995559,98.8729949333725,23.1791082333288,28.02,20.5,50,0.5,"Pristis pristis"
"Dasyatis_microps",87.3849140723652,86.0046792245877,7.65109290698613,29.33,33,23,0.23,"Dasyatis microps"
"Galeocerdo_cuvier",84.1280796149214,87.1055551780582,14.0771867983852,33.9,34,0,0,"Galeocerdo cuvier"
"Aetobatus_flagellum",81.0989214684285,81.24503765935,9.10088816693492,37.48,40,11,0.11,"Aetobatus flagellum"
"Aetobatus_narinari",81.0989214684285,81.24503765935,9.10088816693492,38.48,41,8,0.08,"Aetobatus narinari"
"Zapteryx_exasperata",83.7432533077813,88.8810072874963,22.5294294459674,43.85,33,33,0.33,"Zapteryx exasperata"
"Pristis_clavata",80.449351808269,86.2758594967058,19.7751609592831,46.33,35,0,0,"Pristis clavata"
"Heptranchias_perlo",76.8424518562018,78.3994749923621,11.040447740271,47.05,47,0,0,"Heptranchias perlo"
"Platyrhina_sinensis",78.5926277742485,74.6145723633487,16.5990423634177,48.52,47.5,11,0.11,"Platyrhina sinensis"
"Platyrhina_tangi",77.2299709258995,76.4972038647818,13.1045399482422,48.98,48.5,9,0.09,"Platyrhina tangi"
"Platyrhina_hyugaensis",77.8922139990985,76.0437662712531,14.953658925373,49.63,50,12,0.12,"Platyrhina hyugaensis"
"Zapteryx_brevirostris",79.4458754499125,73.7000660846432,22.4695476187976,53.69,44.5,27,0.27,"Zapteryx brevirostris"
"Callorhinchus_callorynchus",72.3753182276553,72.3044752342551,2.62976307057283,57.43,62.5,10,0.1,"Callorhinchus callorynchus"
"Pristis_zijsron",74.385231769029,79.991546565688,18.0789245170245,58.32,47,0,0,"Pristis zijsron"
"Pristis_pectinata",74.385231769029,79.991546565688,18.0789245170245,59.32,48,0,0,"Pristis pectinata"
"Callorhinchus_milii",70.9824183253953,70.4151837561174,2.51371698996345,62.19,67,4,0.04,"Callorhinchus milii"
"Callorhinchus_capensis",70.9824183253953,70.4151837561174,2.51371698996345,63.19,68,2,0.02,"Callorhinchus capensis"
"Taeniura_lymma",69.9811216491915,70.8179258407586,9.50321321001662,63.98,62.5,0,0,"Taeniura lymma"
"Trygonorrhina_melaleuca",76.8604008564394,71.2277911720392,28.0300210250394,64.95,65,14,0.14,"Trygonorrhina melaleuca"
"Carcharodon_carcharias",68.8346488501615,70.4437278665887,9.62871307538665,65.12,67,0,0,"Carcharodon carcharias"
"Trygonorrhina_dumerilii",73.6332664169169,70.603685485092,21.3150871087443,66.46,62.5,8,0.08,"Trygonorrhina dumerilii"
"Trygonorrhina_fasciata",74.9145638340903,70.318637126582,23.1089808482551,66.66,61,12,0.12,"Trygonorrhina fasciata"
"Echinorhinus_brucus",74.1140267863952,70.5973242126675,22.1809849855767,70.05,65.5,17,0.17,"Echinorhinus brucus"
"Echinorhinus_cookei",74.1140267863952,70.5973242126675,22.1809849855767,71.05,66.5,17,0.17,"Echinorhinus cookei"
"Zapteryx_xyster",70.4591776592676,68.6961947821917,19.8437893508063,72.58,81,8,0.08,"Zapteryx xyster"
"Heterodontus_francisci",77.7031126488292,70.9222807919477,30.2518020442905,77.63,62,23,0.23,"Heterodontus francisci"
"Lamna_ditropis",63.8250660728048,65.2416867010072,9.27014271192409,84.45,84,0,0,"Lamna ditropis"
"Lamna_nasus",63.8250660728048,65.2416867010072,9.27014271192409,85.45,85,0,0,"Lamna nasus"
"Iago_garricki",64.8122692409941,67.6139334119853,14.4737625845994,88.56,83.5,0,0,"Iago garricki"
"Aetomylaeus_vespertilio",69.6362519732553,75.3856643820525,18.1797833969558,88.96,45.5,0,0,"Aetomylaeus vespertilio"
"Iago_omanensis",64.8122692409941,67.6139334119853,14.4737625845994,89.56,84.5,0,0,"Iago omanensis"
"Isurus_oxyrinchus",62.7318668879915,64.0909638983039,8.62071024076224,90.27,91,0,0,"Isurus oxyrinchus"
"Isurus_paucus",62.7318668879915,64.0909638983039,8.62071024076224,91.27,92,0,0,"Isurus paucus"
"Aptychotrema_vincentiana",63.8659230852768,67.5665458878015,14.1719829627009,91.81,78.5,0,0,"Aptychotrema vincentiana"
"Narcine_westraliensis",63.4953113223963,63.639753541324,6.76854460554877,93.66,98.5,4,0.04,"Narcine westraliensis"
"Aptychotrema_rostrata",62.9972899186477,66.0684892872629,13.9753000340133,94.66,92,0,0,"Aptychotrema rostrata"
"Neoharriotta_pinnata",65.9056152477458,60.5667830768252,14.6157757817998,95.83,80.5,8,0.08,"Neoharriotta pinnata"
"Eucrossorhinus_dasypogon",65.6299002458368,69.0579270111199,18.8341056007834,97.35,80.5,0,0,"Eucrossorhinus dasypogon"
"Neoharriotta_pumila",64.8306738394118,59.2077940972978,14.4662570072043,99.34,91,8,0.08,"Neoharriotta pumila"
"Okamejei_jensenae",61.5796468429807,63.9940726022893,13.3376821514935,99.5,98,0,0,"Okamejei jensenae"
"Makararaja_chindwinensis",65.6233042528094,61.8491134618744,17.3957869466027,101.78,75.5,6,0.06,"Makararaja chindwinensis"
"Neoharriotta_carri",63.3579333494528,59.5875634985802,12.6142977437078,102.1,91,1,0.01,"Neoharriotta carri"
"Aptychotrema_timorensis",62.0725948705647,61.8311308377017,16.0045668521779,105.29,108.5,3,0.03,"Aptychotrema timorensis"
"Hexanchus_vitulus",60.066445527016,59.7907426066961,10.7525835566143,106.83,104,0,0,"Hexanchus vitulus"
"Hexanchus_nakamurai",60.1150326269471,59.5300592212477,11.6314081232421,108.24,107.5,0,0,"Hexanchus nakamurai"
"Hexanchus_griseus",59.828533239404,59.9167662668877,10.8368285613838,108.61,108,0,0,"Hexanchus griseus"
"Heterodontus_mexicanus",66.732651166809,60.7982906370804,24.4095229517603,109.31,92,5,0.05,"Heterodontus mexicanus"
