"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Zanobatus_schoenleinii",188.530753024009,189.134158176953,21.2235358917863,1.2,100,1,38.3754906658432,38.6733285526583,3.28101555924356,1.48,1,100,1,10.0923758452567,10.3450111467202,3.31049695601425,2.98,2,99,0.99,"Zanobatus schoenleinii",0.28,1.78,1.5
"Hypnos_monopterygius",162.641586025615,159.176651212908,29.3790286665828,2.72,100,1,34.8262091964752,35.2495225296523,5.64627260686226,3.35,2,100,1,7.29234043425789,6.74697763276118,4.26581185340175,25.07,6,65,0.65,"Hypnos monopterygius",0.63,22.35,21.72
"Hexatrygon_bickelli",137.627250802167,137.487954337562,14.8071687048578,3.73,100,1,27.8858655060415,28.0739858786616,4.03877323945196,6.24,6,100,1,1.96118921799013,1.48444327916241,1.57279469089969,142.13,117.5,2,0.02,"Hexatrygon bickelli",2.51,138.4,135.89
"Platyrhinoidis_triseriata",135.708988663987,135.087951684551,16.0577715738223,4.19,100,1,34.7203594400846,34.7534278659356,4.57711308575405,2.79,3,100,1,9.53836431025071,9.26050825847963,2.72832419019828,3.26,3,100,1,"Platyrhinoidis triseriata",-1.4,-0.930000000000001,0.47
"Mitsukurina_owstoni",129.411746375605,135.464094040999,24.5190164659539,4.99,100,1,28.1796771390393,30.9816740334469,7.88686299779206,7.19,5,96,0.96,4.54786654547945,4.60702061119285,2.68784421635841,45.09,26,41,0.41,"Mitsukurina owstoni",2.2,40.1,37.9
"Plesiobatis_daviesi",117.820879981398,118.09918753752,13.205584932093,7.79,100,1,21.7910944346023,22.2245633007593,4.21043614832965,17.06,17,85,0.85,0.567770102797906,0.437987003228786,0.625228064609549,470.8,479,0,0,"Plesiobatis daviesi",9.27,463.01,453.74
"Anoxypristis_cuspidata",116.972731763834,125.545741149437,27.8106630049424,9.27,95,0.95,23.3379850746906,27.5566561264464,10.7995170263565,33.9,8,76,0.76,2.73781521524078,2.53129809315057,1.75876647209941,90.07,65.5,3,0.03,"Anoxypristis cuspidata",24.63,80.8,56.17
"Carcharias_taurus",103.39903460905,107.559875999308,18.4367445795098,12.48,100,1,20.0626761174632,22.3355913590866,8.15452818516682,30.18,17.5,60,0.6,2.82576061512886,2.72624865904388,1.61113802606942,82.96,63,2,0.02,"Carcharias taurus",17.7,70.48,52.78
"Notorynchus_cepedianus",103.410724485802,104.87653855816,14.8533261063967,12.95,95,0.95,25.0572680697014,25.2476977068292,5.5360914253249,10.79,10,96,0.96,7.29248462815402,7.27333212135743,2.41432661931102,7.54,6,95,0.95,"Notorynchus cepedianus",-2.16,-5.41,-3.25
"Leptocharias_smithii",103.912931441747,105.504111744875,23.673148706605,16.15,68,0.68,16.331397930249,17.6606608446384,8.78982806197625,110.91,36,25,0.25,0.529098726717693,0.365726013459745,0.52236997666441,584.14,559,0,0,"Leptocharias smithii",94.76,567.99,473.23
