"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Acroteriobatus annulatus",233,45.0618753655774,173,40.6470739430683,218,6.56879326346232,138,1.62927650323099,-60,-15,-95,"Acroteriobatus annulatus","Acroteriobatus annulatus","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus blochii",366,37.7259278145774,340,32.3433926421394,311,4.97286951820813,186,1.36105033073949,-26,-55,-180,"Acroteriobatus blochii","Acroteriobatus blochii","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus leucospilus",103,58.566417482125,83,49.8729980522302,81,11.6379572807318,160,1.49842204817514,-20,-22,57,"Acroteriobatus leucospilus","Acroteriobatus leucospilus","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus ocellatus",310,40.4846937776553,324,32.8830193040743,205,6.73380220006206,227,1.23329660674407,14,-105,-83,"Acroteriobatus ocellatus","Acroteriobatus ocellatus","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus salalah",229,45.2721415009887,195,38.7799907774281,256,5.80569296226766,200,1.31626001247841,-34,27,-29,"Acroteriobatus salalah","Acroteriobatus salalah","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus variegatus",661,26.6952710872107,798,19.6277753272602,296,5.19648850809231,226,1.23969213682062,137,-365,-435,"Acroteriobatus variegatus","Acroteriobatus variegatus","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Acroteriobatus zanzibarensis",330,39.4641585141553,307,33.7474910495585,204,6.74074030032632,241,1.18284503313271,-23,-126,-89,"Acroteriobatus zanzibarensis","Acroteriobatus zanzibarensis","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Acroteriobatus","ray"
"Aculeola nigra",301,40.7351295470056,263,35.6124162879333,232,6.19332395122958,353,0.718863622073628,-38,-69,52,"Aculeola nigra","Aculeola nigra","Elasmobranchii","Squaliformes","Etmopteridae","Aculeola","shark"
"Aetobatus flagellum",41,82.5191407171089,45,58.4166469881749,64,13.4640041184978,471,0.52161677910883,4,23,430,"Aetobatus flagellum","Aetobatus flagellum","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","ray"
"Aetobatus narinari",42,82.5191407171089,33,61.8684901373977,39,16.7559632479106,527,0.395026730039921,-9,-3,485,"Aetobatus narinari","Aetobatus narinari","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","ray"
"Aetomylaeus maculatus",96,60.6993941181752,78,51.1049147019489,158,7.66236967130992,485,0.471217390806827,-18,62,389,"Aetomylaeus maculatus","Aetomylaeus maculatus","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","ray"
"Aetomylaeus nichofii",165,49.9572173081752,150,41.8724108892948,202,6.78588173791654,483,0.471846798387244,-15,37,318,"Aetomylaeus nichofii","Aetomylaeus nichofii","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","ray"
"Aetomylaeus vespertilio",37,84.0944656756753,37,61.0589411511163,68,12.9923787442454,476,0.48965394634554,0,31,439,"Aetomylaeus vespertilio","Aetomylaeus vespertilio","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","ray"
"Alopias pelagicus",28,91.3227227874443,28,66.1031777010132,29,18.6657335367834,48,3.10290023960803,0,1,20,"Alopias pelagicus","Alopias pelagicus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Alopias superciliosus",10,108.130378747778,18,71.1998245757383,18,22.5107839368468,24,4.21627187864933,8,8,14,"Alopias superciliosus","Alopias superciliosus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Alopias vulpinus",27,91.3227227874443,23,67.3450667004608,32,17.8244935254022,71,2.41287925911214,-4,5,44,"Alopias vulpinus","Alopias vulpinus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Amblyraja badia",1188,7.64298999876906,1187,6.74459697470823,1028,0.800121976780714,1059,0.185183839212846,-1,-160,-129,"Amblyraja badia","Amblyraja hyperborea","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","ray"
"Amblyraja doellojuradoi",1159,10.1692071482291,1155,9.36520626011403,1011,0.817136361973521,1041,0.190072392802011,-4,-148,-118,"Amblyraja doellojuradoi","Amblyraja doellojuradoi","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","ray"
"Amblyraja frerichsi",1158,10.1692071482291,1154,9.37906015376387,1040,0.78311637530432,1031,0.193176773257111,-4,-118,-127,"Amblyraja frerichsi","Amblyraja frerichsi","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","ray"
"Amblyraja georgiana",1155,10.1999873943957,1157,9.28148327582078,1014,0.815667086869948,1062,0.184089989687994,2,-141,-93,"Amblyraja georgiana","Amblyraja georgiana","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","ray"
