"Rank_ED","species_tree","species","ED"
1,"Zanobatus_schoenleinii","Zanobatus schoenleinii",192.517977687057
2,"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",144.289532417262
3,"Hypnos_monopterygius","Hypnos monopterygius",142.750439551048
4,"Hexatrygon_bickelli","Hexatrygon bickelli",138.947657969357
5,"Mitsukurina_owstoni","Mitsukurina owstoni",138.616999110635
6,"Anoxypristis_cuspidata","Anoxypristis cuspidata",125.9208433425
7,"Heterodontus_francisci","Heterodontus francisci",120.577239087092
8,"Plesiobatis_daviesi","Plesiobatis daviesi",119.351624653795
9,"Carcharias_taurus","Carcharias taurus",110.368168349206
10,"Alopias_superciliosus","Alopias superciliosus",108.130378747778
11,"Notorynchus_cepedianus","Notorynchus cepedianus",108.122896296644
12,"Leptocharias_smithii","Leptocharias smithii",107.871249574441
13,"Brachaelurus_colcloughi","Brachaelurus colcloughi",106.983319344262
14,"Brachaelurus_waddi","Brachaelurus waddi",106.983319344262
15,"Rhina_ancylostoma","Rhina ancylostoma",106.454345188761
16,"Zapteryx_brevirostris","Zapteryx brevirostris",104.399019047004
17,"Heterodontus_mexicanus","Heterodontus mexicanus",103.119928327092
18,"Trigonognathus_kabeyai","Trigonognathus kabeyai",102.743378303653
19,"Pseudoginglymostoma_brevicaudatum","Pseudoginglymostoma brevicaudatum",102.561570455691
20,"Cetorhinus_maximus","Cetorhinus maximus",100.944419104206
21,"Pristis_pristis","Pristis pristis",99.6509217549998
22,"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",99.2866774753372
23,"Pliotrema_warreni","Pliotrema warreni",98.6604630037834
24,"Dalatias_licha","Dalatias licha",98.6090018008094
25,"Eucrossorhinus_dasypogon","Eucrossorhinus dasypogon",96.0110490042622
26,"Hemipristis_elongata","Hemipristis elongata",95.4789400873739
27,"Alopias_vulpinus","Alopias vulpinus",91.3227227874443
28,"Alopias_pelagicus","Alopias pelagicus",91.3227227874443
29,"Platyrhina_hyugaensis","Platyrhina hyugaensis",89.6606801305955
30,"Galeocerdo_cuvier","Galeocerdo cuvier",88.006459695559
31,"Dasyatis_microps","Dasyatis microps",87.3029707076845
32,"Pristis_clavata","Pristis clavata",86.9477543016664
33,"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",86.620362642149
34,"Chlamydoselachus_africana","Chlamydoselachus africana",86.620362642149
35,"Platyrhina_sinensis","Platyrhina sinensis",85.7130482180955
36,"Platyrhina_tangi","Platyrhina tangi",85.7130482180955
37,"Aetomylaeus_vespertilio","Aetomylaeus vespertilio",84.0944656756753
38,"Rhinobatos_penggali","Rhinobatos penggali",84.0319811630774
39,"Pseudotriakis_microdon","Pseudotriakis microdon",83.0617538090924
40,"Apristurus_saldanha","Apristurus saldanha",82.9052859213335
41,"Aetobatus_flagellum","Aetobatus flagellum",82.5191407171089
42,"Aetobatus_narinari","Aetobatus narinari",82.5191407171089
43,"Pristis_zijsron","Pristis zijsron",80.9965445166664
44,"Pristis_pectinata","Pristis pectinata",80.9965445166664
45,"Heptranchias_perlo","Heptranchias perlo",80.786072691644
46,"Trygonorrhina_dumerilii","Trygonorrhina dumerilii",80.4209923553372
47,"Trygonorrhina_fasciata","Trygonorrhina fasciata",80.4209923553372
48,"Cruriraja_hulleyi","Cruriraja hulleyi",80.3928673578447
49,"Heterodontus_ramalheira","Heterodontus ramalheira",78.0040103979493
50,"Planonasus_parini","Planonasus parini",77.248556209759
51,"Pristiophorus_japonicus","Pristiophorus japonicus",76.2991599787835
52,"Squaliolus_laticaudus","Squaliolus laticaudus",76.2863177258094
53,"Mollisquama_parini","Mollisquama parini",75.0724840304094
