"species","Rank","species_tree.x","ED_github","Rank_rho001","species_tree.y","EvoHeritage_rho001","Ancestral_EvoHeritage","rank_change"
"Acroteriobatus annulatus",233,"Acroteriobatus_annulatus",45.0618753655774,164,"Acroteriobatus_annulatus",40.6125003842665,106.221829086205,-69
"Acroteriobatus blochii",366,"Acroteriobatus_blochii",37.7259278145774,336,"Acroteriobatus_blochii",32.1799849547519,102.784373991852,-30
"Acroteriobatus leucospilus",103,"Acroteriobatus_leucospilus",58.566417482125,99,"Acroteriobatus_leucospilus",47.6099431641286,102.907741852831,-4
"Acroteriobatus ocellatus",310,"Acroteriobatus_ocellatus",40.4846937776553,311,"Acroteriobatus_ocellatus",33.3729470495343,95.3019222412203,1
"Acroteriobatus salalah",229,"Acroteriobatus_salalah",45.2721415009887,219,"Acroteriobatus_salalah",37.9633766548762,101.903719966817,-10
"Acroteriobatus variegatus",661,"Acroteriobatus_variegatus",26.6952710872107,722,"Acroteriobatus_variegatus",21.1247125266623,104.878261400323,61
"Acroteriobatus zanzibarensis",330,"Acroteriobatus_zanzibarensis",39.4641585141553,321,"Acroteriobatus_zanzibarensis",32.9763339040229,99.4351710888018,-9
"Aculeola nigra",301,"Aculeola_nigra",40.7351295470056,180,"Aculeola_nigra",39.5226200133695,105.519977156092,-121
"Aetobatus flagellum",41,"Aetobatus_flagellum",82.5191407171089,41,"Aetobatus_flagellum",60.2107375365123,100.568408544886,0
"Aetobatus narinari",42,"Aetobatus_narinari",82.5191407171089,31,"Aetobatus_narinari",63.0766158617664,102.543281558392,-11
"Aetomylaeus maculatus",96,"Aetomylaeus_maculatus",60.6993941181752,79,"Aetomylaeus_maculatus",50.796834621064,94.905090304708,-17
"Aetomylaeus nichofii",165,"Aetomylaeus_nichofii",49.9572173081752,122,"Aetomylaeus_nichofii",44.2939800038214,99.9578285848737,-43
"Aetomylaeus vespertilio",37,"Aetomylaeus_vespertilio",84.0944656756753,38,"Aetomylaeus_vespertilio",60.6936409928499,94.6513766410604,1
"Alopias pelagicus",28,"Alopias_pelagicus",91.3227227874443,26,"Alopias_pelagicus",66.5294509819062,98.1709140527525,-2
"Alopias superciliosus",10,"Alopias_superciliosus",108.130378747778,17,"Alopias_superciliosus",72.0411874225195,96.2136675937146,7
"Alopias vulpinus",27,"Alopias_vulpinus",91.3227227874443,29,"Alopias_vulpinus",65.3296686004739,96.9371998035759,2
"Amblyraja badia",1188,"Amblyraja_badia",7.64298999876906,1188,"Amblyraja_badia",6.39911256280563,95.1363623627031,0
"Amblyraja doellojuradoi",1159,"Amblyraja_doellojuradoi",10.1692071482291,1164,"Amblyraja_doellojuradoi",8.87344031799886,95.6475901725483,5
"Amblyraja frerichsi",1158,"Amblyraja_frerichsi",10.1692071482291,1159,"Amblyraja_frerichsi",9.04156360852539,97.4499078401248,1
"Amblyraja georgiana",1155,"Amblyraja_georgiana",10.1999873943957,1153,"Amblyraja_georgiana",9.2116464172276,99.9104774487133,-2
"Amblyraja hyperborea",1186,"Amblyraja_hyperborea",8.36793977472906,1186,"Amblyraja_hyperborea",7.1152990519142,95.7340098362585,0
"Amblyraja jenseni",1187,"Amblyraja_jenseni",7.64298999876906,1187,"Amblyraja_jenseni",6.41050631756409,95.0412391915214,0
"Amblyraja radiata",878,"Amblyraja_radiata",19.7741454624652,821,"Amblyraja_radiata",18.8902968555912,99.9827181798492,-57
"Amblyraja reversa",1185,"Amblyraja_reversa",8.36793977472906,1185,"Amblyraja_reversa",7.15553374161629,95.6060343873082,0
"Amblyraja robertsi",964,"Amblyraja_robertsi",17.4047814350207,923,"Amblyraja_robertsi",16.390758855479,100.934885518219,-41
"Amblyraja taaf",1154,"Amblyraja_taaf",10.1999873943957,1157,"Amblyraja_taaf",9.13549867700477,98.675207557709,3
"Anacanthobatis americanus",773,"Anacanthobatis_americanus",23.0658705340149,746,"Anacanthobatis_americanus",20.6226677015495,104.679748972388,-27
"Anacanthobatis donghaiensis",716,"Anacanthobatis_donghaiensis",24.7421133528482,686,"Anacanthobatis_donghaiensis",21.9706913248931,101.441977422535,-30
"Anacanthobatis folirostris",609,"Anacanthobatis_folirostris",28.3830796588982,596,"Anacanthobatis_folirostris",24.7520018943133,99.1321320821189,-13
"Anacanthobatis longirostris",321,"Anacanthobatis_longirostris",40.0167796074697,233,"Anacanthobatis_longirostris",37.3877869637309,97.559952929379,-88
"Anacanthobatis marmoratus",844,"Anacanthobatis_marmoratus",20.7144288378482,861,"Anacanthobatis_marmoratus",17.9882069151173,102.376820935978,17
"Anacanthobatis nanhaiensis",843,"Anacanthobatis_nanhaiensis",20.7144288378482,857,"Anacanthobatis_nanhaiensis",18.0346211291785,98.722666436155,14
"Anacanthobatis ori",772,"Anacanthobatis_ori",23.0658705340149,759,"Anacanthobatis_ori",20.4117894085828,102.144771283178,-13
"Anacanthobatis stenosoma",681,"Anacanthobatis_stenosoma",26.1600169915149,671,"Anacanthobatis_stenosoma",22.6300884498856,102.162440623048,-10
"Anoxypristis cuspidata",6,"Anoxypristis_cuspidata",125.9208433425,6,"Anoxypristis_cuspidata",76.2926669389166,101.003306409318,0
"Apristurus albisoma",939,"Apristurus_albisoma",18.1792586945153,950,"Apristurus_albisoma",15.7860431826834,95.834965436961,11
"Apristurus ampliceps",956,"Apristurus_ampliceps",17.650799607307,940,"Apristurus_ampliceps",16.0464197327612,101.203214570502,-16
"Apristurus aphyodes",958,"Apristurus_aphyodes",17.6372722441737,930,"Apristurus_aphyodes",16.2611964753748,102.051568855597,-28
"Apristurus australis",457,"Apristurus_australis",33.2053067463012,457,"Apristurus_australis",28.1905981405446,96.519664700864,0
"Apristurus brunneus",616,"Apristurus_brunneus",28.1010479873481,573,"Apristurus_brunneus",25.3933513467227,103.149442731553,-43
"Apristurus bucephalus",940,"Apristurus_bucephalus",18.1792586945153,935,"Apristurus_bucephalus",16.1832608331516,96.4740171571566,-5
"Apristurus canutus",56,"Apristurus_canutus",73.4275560920478,71,"Apristurus_canutus",53.6247857711495,101.482457296624,15
"Apristurus exsanguis",107,"Apristurus_exsanguis",58.4361173975862,98,"Apristurus_exsanguis",47.7067130685899,104.476961287806,-9
