"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
1,"Zanobatus_schoenleinii","Zanobatus schoenleinii",11.231925695106,24.095025968749,0.01,145,4025,1,100
2,"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",10.8162474362767,19.7944374376953,0.01,145,4025,1,100
3,"Heterodontus_francisci","Heterodontus francisci",9.88174609613658,27.4065902424345,0.01,145,4025,1,100
4,"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",7.73883212837806,27.8153780565523,0.01,145,4025,1,100
5,"Chlamydoselachus_africana","Chlamydoselachus africana",7.73883212837806,27.8153780565523,0.01,145,4025,1,100
6,"Platyrhina_hyugaensis","Platyrhina hyugaensis",7.13170679287804,25.3012336739802,0.01,145,4025,1,100
7,"Heterodontus_mexicanus","Heterodontus mexicanus",6.90291288069968,22.1880425010183,0.01,145,4025,1,100
8,"Callorhinchus_callorynchus","Callorhinchus callorynchus",6.88498867293541,24.6422340787219,0.01,145,4025,1,100
9,"Notorynchus_cepedianus","Notorynchus cepedianus",6.24267693891554,19.5890485281887,0.01,145,4025,1,100
10,"Brachaelurus_colcloughi","Brachaelurus colcloughi",5.95823801731953,19.2388933105253,0.01,145,4025,1,100
11,"Trygonorrhina_dumerilii","Trygonorrhina dumerilii",5.94584258891617,25.035043173427,0.01,145,4025,1,100
12,"Callorhinchus_milii","Callorhinchus milii",5.83765633563927,21.1800330094147,0.01,145,4025,1,100
13,"Platyrhina_sinensis","Platyrhina sinensis",5.61314281330714,21.333423998667,0.01,145,4025,1,100
14,"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",5.55570813535748,24.0993538101485,0.01,145,4025,1,100
15,"Hypnos_monopterygius","Hypnos monopterygius",5.5082025949691,23.7758414309142,0.01,145,4025,1,100
16,"Brachaelurus_waddi","Brachaelurus waddi",5.4015834057728,19.5089964532691,0.01,145,4025,1,100
17,"Callorhinchus_capensis","Callorhinchus capensis",5.37794458335223,21.8200604495027,0.01,145,4025,1,100
18,"Zapteryx_brevirostris","Zapteryx brevirostris",5.22166256334549,21.2322943588357,0.01,145,4025,1,100
19,"Trygonorrhina_fasciata","Trygonorrhina fasciata",5.0892965069445,24.0615084728838,0.01,145,4025,1,100
20,"Pseudoginglymostoma_brevicaudatum","Pseudoginglymostoma brevicaudatum",5.0558169922886,25.8010122125705,0.01,145,4025,1,100
21,"Platyrhina_tangi","Platyrhina tangi",4.99772722429849,22.2157107792044,0.01,145,4025,1,100
22,"Heptranchias_perlo","Heptranchias perlo",4.81098881986209,22.8699375590286,0.01,145,4025,1,100
23,"Hexanchus_vitulus","Hexanchus vitulus",4.44215512416816,21.751514066141,0.01,145,4025,1,100
24,"Alopias_superciliosus","Alopias superciliosus",4.21627187864933,26.5667944500147,0.01,145,4025,1,100
25,"Hexanchus_nakamurai","Hexanchus nakamurai",4.15978219618663,22.1653217181836,0.01,145,4025,1,100
26,"Hexanchus_griseus","Hexanchus griseus",4.10603057090222,21.7448566846511,0.01,145,4025,1,100
27,"Eucrossorhinus_dasypogon","Eucrossorhinus dasypogon",4.09191819016592,23.5271483666709,0.01,145,4025,1,100
28,"Zapteryx_xyster","Zapteryx xyster",3.9701303328337,20.5138285892028,0.01,145,4025,1,100
29,"Carcharias_taurus","Carcharias taurus",3.89900095410674,25.8525048443749,0.01,145,4025,1,100
30,"Aptychotrema_vincentiana","Aptychotrema vincentiana",3.82252177281587,23.2363844735091,0.01,145,4025,1,100
31,"Mitsukurina_owstoni","Mitsukurina owstoni",3.75008434456861,19.6025547140002,0.01,145,4025,1,100
32,"Neoharriotta_pumila","Neoharriotta pumila",3.67673430328423,27.6801586201867,0.01,145,4025,1,100
33,"Echinorhinus_cookei","Echinorhinus cookei",3.67528844592647,19.1120031714937,0.01,145,4025,1,100
34,"Neoharriotta_carri","Neoharriotta carri",3.63084682226389,27.3857833836898,0.01,145,4025,1,100
35,"Rhinochimaera_pacifica","Rhinochimaera pacifica",3.61273493717252,22.2152278224812,0.01,145,4025,1,100
36,"Rhincodon_typus","Rhincodon typus",3.59343832647041,24.3989952175545,0.01,145,4025,1,100
37,"Nebrius_ferrugineus","Nebrius ferrugineus",3.59343832647041,24.3989952175545,0.01,145,4025,1,100
38,"Heterodontus_ramalheira","Heterodontus ramalheira",3.5580634374958,23.5785669297208,0.01,145,4025,1,100
39,"Neoharriotta_pinnata","Neoharriotta pinnata",3.51310302138362,28.3580412659939,0.01,145,4025,1,100
40,"Zapteryx_exasperata","Zapteryx exasperata",3.45313544767582,20.3243426815245,0.01,145,4025,1,100
41,"Rhinochimaera_atlantica","Rhinochimaera atlantica",3.42177891589439,26.8519431537407,0.01,145,4025,1,100
42,"Aptychotrema_rostrata","Aptychotrema rostrata",3.41519856720576,23.5822936138977,0.01,145,4025,1,100
43,"Cetorhinus_maximus","Cetorhinus maximus",3.36860738010478,26.0508116914888,0.01,145,4025,1,100
44,"Rhinochimaera_africana","Rhinochimaera africana",3.32333327563705,23.8962114107977,0.01,145,4025,1,100
45,"Heterodontus_portusjacksoni","Heterodontus portusjacksoni",3.24428747302574,24.6957712889031,0.01,145,4025,1,100
46,"Heterodontus_galeatus","Heterodontus galeatus",3.12516981586081,27.1406373779738,0.01,145,4025,1,100
47,"Aptychotrema_timorensis","Aptychotrema timorensis",3.11225613357887,23.1262110807837,0.01,145,4025,1,100
48,"Alopias_pelagicus","Alopias pelagicus",3.10290023960803,22.5406484186503,0.01,145,4025,1,100
49,"Schroederichthys_tenuis","Schroederichthys tenuis",2.94563525081359,23.4278761264996,0.01,145,4025,1,100
50,"Harriotta_haeckeli","Harriotta haeckeli",2.86934600350928,22.7195822889238,0.01,145,4025,1,100
51,"Heterodontus_quoyi","Heterodontus quoyi",2.83354760611611,23.6805486093811,0.01,145,4025,1,100
52,"Heterodontus_zebra","Heterodontus zebra",2.75986267338714,23.0631000130643,0.01,145,4025,1,100
53,"Parascyllium_sparsimaculatum","Parascyllium sparsimaculatum",2.67079805794407,24.9987065762637,0.01,145,4025,1,100
54,"Parascyllium_collare","Parascyllium collare",2.64835508137372,24.8874272719064,0.01,145,4025,1,100
55,"Cirrhoscyllium_japonicum","Cirrhoscyllium japonicum",2.64753848375388,25.0450156524982,0.01,145,4025,1,100
56,"Schroederichthys_bivius","Schroederichthys bivius",2.62519178069606,22.9578185109201,0.01,145,4025,1,100
