"tip.label","species","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145"
"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",135.708988663987,135.087951684551,16.0577715738223,4.19,4,100,1,34.5549150382815,34.958727310134,3.78334061164887,2.69,3,100,1,9.63919860080592,9.53051215950155,2.10251107088135,2.05,2,100,1
"Zanobatus_schoenleinii","Zanobatus schoenleinii",188.530753024009,189.134158176953,21.2235358917863,1.2,1,100,1,38.3844423478966,38.7129353323727,3.18036708737124,1.35,1,100,1,10.0141598981459,10.2772490992361,3.1567452124511,2.66,2,99,0.99
"Notorynchus_cepedianus","Notorynchus cepedianus",103.410724485802,104.87653855816,14.8533261063967,12.95,12.5,95,0.95,24.8334863460929,25.1845868640318,4.96670611124198,9.86,9,98,0.98,7.24617263725478,7.3027184218351,1.83773341358458,5.85,5,100,1
"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",95.1261754065078,91.2888706830084,16.3156448554668,22.26,21,49,0.49,23.63952209813,22.3792751709502,4.25851852135424,14.27,12.5,77,0.77,7.05489459682271,6.78058533881814,1.89812722474861,6.42,6,100,1
"Chlamydoselachus_africana","Chlamydoselachus africana",95.1261754065078,91.2888706830084,16.3156448554668,23.26,22,48,0.48,23.5869674829608,22.30463234798,4.26200008590907,14.66,13.5,75,0.75,7.04225773770257,6.74612168894738,1.88141878248068,6.49,6,100,1
"Callorhinchus_callorynchus","Callorhinchus callorynchus",72.3753182276553,72.3044752342551,2.62976307057283,57.43,62.5,10,0.1,16.8333304028838,16.8161825223395,0.388751377033894,35.62,37,24,0.24,6.32784539279294,6.27475143331537,0.301599599553678,8.73,8,97,0.97
"Callorhinchus_capensis","Callorhinchus capensis",70.9824183253953,70.4151837561174,2.51371698996345,63.19,68,2,0.02,16.2703400492646,16.2011782294827,0.309240648055912,40.33,42,24,0.24,6.13632268810425,6.1045062913428,0.278361810345812,10.91,10,96,0.96
"Callorhinchus_milii","Callorhinchus milii",70.9824183253953,70.4151837561174,2.51371698996345,62.19,67,4,0.04,16.2630545658804,16.223053086548,0.310250487749093,40.43,42,24,0.24,6.13751124932572,6.10217335872903,0.285986121570804,10.93,10,95,0.95
"Platyrhina_tangi","Platyrhina tangi",77.2299709258995,76.4972038647818,13.1045399482422,48.98,48.5,9,0.09,17.1387452888638,16.5603824451168,3.25434355094004,35.23,34,21,0.21,5.38062399130243,5.4108498449838,1.29926826114679,14.87,14,86,0.86
"Platyrhina_sinensis","Platyrhina sinensis",78.5926277742485,74.6145723633487,16.5990423634177,48.52,47.5,11,0.11,17.5077217185593,16.1457880755435,4.35978103391739,35.17,30,25,0.25,5.47275071766753,5.28936063367094,1.50534164397557,14.94,14,80,0.8
"Heptranchias_perlo","Heptranchias perlo",76.8424518562018,78.3994749923621,11.040447740271,47.05,47,0,0,16.0341539067757,16.3231753158038,2.6438177220114,37.81,38,6,0.06,5.24051450674463,5.38330219311236,1.29194452248556,15.25,15,90,0.9
"Platyrhina_hyugaensis","Platyrhina hyugaensis",77.8922139990985,76.0437662712531,14.953658925373,49.63,50,12,0.12,17.2584678496401,16.4014592702619,3.87799972462711,36.47,35,24,0.24,5.39017171406831,5.22452445070443,1.38348873579132,15.36,15,85,0.85
"Heterodontus_francisci","Heterodontus francisci",77.7031126488292,70.9222807919477,30.2518020442905,77.63,62,23,0.23,17.4064133855072,16.7107361518273,8.31862530562958,44.55,44.5,26,0.26,5.0540229780462,4.97590258323426,2.1981251027345,21.19,20.5,50,0.5
"Hypnos_monopterygius","Hypnos monopterygius",162.641586025615,159.176651212908,29.3790286665828,2.72,2,100,1,34.6523204784548,34.9147532124056,5.48466106390863,3.35,2,100,1,7.24605815030465,6.69218145079108,4.24000351130155,21.7,6,60,0.6
"Zapteryx_exasperata","Zapteryx exasperata",83.7432533077813,88.8810072874963,22.5294294459674,43.85,33,33,0.33,19.355875531276,20.188872006388,6.85129862905629,27.1,26.5,42,0.42,4.66327914794658,4.76761625215748,1.86021030734823,22.69,22,45,0.45
"Zapteryx_brevirostris","Zapteryx brevirostris",79.4458754499125,73.7000660846432,22.4695476187976,53.69,44.5,27,0.27,18.4269515282462,18.1615865494632,6.754651928396,31.51,36,32,0.32,4.51245042533892,4.47439195597583,1.86275225496906,24.49,27,38,0.38
"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",76.8604008564394,71.2277911720392,28.0300210250394,64.95,65,14,0.14,17.9100325755585,16.0900258503291,7.17833695132807,35.71,35,16,0.16,4.55342464417205,4.20170579029267,2.08810551603721,25.22,27,31,0.31
"Trygonorrhina_fasciata","Trygonorrhina fasciata",74.9145638340903,70.318637126582,23.1089808482551,66.66,61,12,0.12,17.3820396887923,16.3557524189224,6.11817818959037,36.79,34,16,0.16,4.42264255625637,4.35532696753747,1.79587337451303,26.11,26,27,0.27
"Trygonorrhina_dumerilii","Trygonorrhina dumerilii",73.6332664169169,70.603685485092,21.3150871087443,66.46,62.5,8,0.08,17.0540149116399,16.2467865398013,5.58846547672968,37,36,11,0.11,4.38143118686273,4.14604332443746,1.73041055283328,26.4,27,23,0.23
"Hexanchus_nakamurai","Hexanchus nakamurai",60.1150326269471,59.5300592212477,11.6314081232421,108.24,107.5,0,0,12.4948634501178,12.4922604467821,1.99533853160124,67.16,71,0,0,4.20619453964815,4.29424532255033,0.990861079615475,26.48,25,17,0.17
