"Rank_rho001","species_tree","species","EvoHeritage_rho001","Ancestral_EvoHeritage"
1,"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",89.4728261702302,102.552385522056
2,"Zanobatus_schoenleinii","Zanobatus schoenleinii",88.3519799857199,99.3839193381382
3,"Hypnos_monopterygius","Hypnos monopterygius",81.2845323140636,95.2863200968071
4,"Mitsukurina_owstoni","Mitsukurina owstoni",78.5413479336943,94.4406587101778
5,"Hexatrygon_bickelli","Hexatrygon bickelli",77.5156469015006,100.855059090763
6,"Anoxypristis_cuspidata","Anoxypristis cuspidata",76.2926669389166,101.003306409318
7,"Brachaelurus_waddi","Brachaelurus waddi",75.2655147459156,105.043758573812
8,"Heterodontus_francisci","Heterodontus francisci",75.1212819474409,96.4409615595442
9,"Zapteryx_brevirostris","Zapteryx brevirostris",74.306361902016,102.91322649945
10,"Heterodontus_mexicanus","Heterodontus mexicanus",74.1447794210465,99.3559265452308
11,"Carcharias_taurus","Carcharias taurus",74.0853100527746,108.063402547287
12,"Brachaelurus_colcloughi","Brachaelurus colcloughi",74.0786514692532,97.0011299699592
13,"Trygonorrhina_melaleuca","Trygonorrhina melaleuca",73.8998069265917,102.088308326469
14,"Notorynchus_cepedianus","Notorynchus cepedianus",73.807576963101,103.210691704474
15,"Pseudoginglymostoma_brevicaudatum","Pseudoginglymostoma brevicaudatum",72.701209455674,96.5784923128254
16,"Rhina_ancylostoma","Rhina ancylostoma",72.5244037826791,95.3900305665705
17,"Alopias_superciliosus","Alopias superciliosus",72.0411874225195,96.2136675937146
18,"Plesiobatis_daviesi","Plesiobatis daviesi",71.5812740765351,97.3925506619285
19,"Dalatias_licha","Dalatias licha",69.8873621400358,97.3129102687169
20,"Pristis_pristis","Pristis pristis",69.8803515542807,101.599383981333
21,"Eucrossorhinus_dasypogon","Eucrossorhinus dasypogon",69.6359773393884,100.41047558134
22,"Cetorhinus_maximus","Cetorhinus maximus",69.1027820339697,103.046248247657
23,"Pliotrema_warreni","Pliotrema warreni",68.1738626425709,100.996809494227
24,"Trigonognathus_kabeyai","Trigonognathus kabeyai",67.7355621602122,98.2354288227794
25,"Leptocharias_smithii","Leptocharias smithii",66.9227928354076,101.298162043717
26,"Alopias_pelagicus","Alopias pelagicus",66.5294509819062,98.1709140527525
27,"Rhinobatos_penggali","Rhinobatos penggali",66.3207324497445,96.9688628848413
28,"Pristis_clavata","Pristis clavata",66.1570798802558,100.800347435201
29,"Alopias_vulpinus","Alopias vulpinus",65.3296686004739,96.9371998035759
30,"Pseudotriakis_microdon","Pseudotriakis microdon",65.0713630987472,109.124656832755
