"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Callorhinchus callorynchus",61,73.2875858724286,166,40.9305419778633,36,17.3565608696914,8,6.88498867293541,105,-25,-53,"Callorhinchus callorynchus","Callorhinchus callorynchus","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","chimaera"
"Callorhinchus milii",64,72.1392630339286,217,37.8932258009662,41,16.511793601592,12,5.83765633563927,153,-23,-52,"Callorhinchus milii","Callorhinchus milii","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","chimaera"
"Callorhinchus capensis",65,72.1392630339286,200,38.646719276993,43,16.2814424648106,17,5.37794458335223,135,-22,-48,"Callorhinchus capensis","Callorhinchus capensis","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","chimaera"
"Chimaera phantasma",69,71.5656219418699,52,56.7145471330448,86,11.4505044203566,118,1.74976485669941,-17,17,49,"Chimaera phantasma","Chimaera phantasma","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Neoharriotta pinnata",84,64.4677129283126,90,49.1787335269225,61,13.8269933045139,39,3.51310302138362,6,-23,-45,"Neoharriotta pinnata","Neoharriotta pinnata","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta","chimaera"
"Rhinochimaera pacifica",111,57.744255677646,80,50.3983336052611,82,11.5996742951225,35,3.61273493717252,-31,-29,-76,"Rhinochimaera pacifica","Rhinochimaera pacifica","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","chimaera"
"Neoharriotta pumila",121,55.4099624073126,234,37.1793960043453,62,13.8087284963837,32,3.67673430328423,113,-59,-89,"Neoharriotta pumila","Neoharriotta pumila","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta","chimaera"
"Neoharriotta carri",122,55.4099624073126,192,38.9447944829705,53,14.5166153916602,34,3.63084682226389,70,-69,-88,"Neoharriotta carri","Neoharriotta carri","Holocephali","Chimaeriformes","Rhinochimaeridae","Neoharriotta","chimaera"
"Chimaera obscura",140,53.294145460255,131,43.625758512593,154,7.89815503392736,84,2.12354097022629,-9,14,-56,"Chimaera obscura","Chimaera obscura","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Chimaera bahamaensis",141,53.0294816647853,153,41.7024130734909,241,6.02507648950267,179,1.38611162426358,12,100,38,"Chimaera bahamaensis","Chimaera bahamaensis","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Hydrolagus alberti",143,52.5287613132852,156,41.5339494276713,282,5.43666926243784,157,1.52855441658311,13,139,14,"Hydrolagus alberti","Hydrolagus alberti","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Hydrolagus alphus",144,52.5287613132852,151,41.8134801722872,307,5.0592208665398,196,1.32179341671168,7,163,52,"Hydrolagus alphus","Hydrolagus alphus","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Hydrolagus deani",150,51.457969215255,172,40.6813517511165,151,7.92468724783556,63,2.52417099447963,22,1,-87,"Hydrolagus deani","Hydrolagus deani","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Chimaera jordani",159,50.3112925911186,171,40.7877404335068,292,5.29312672963918,169,1.44151127735983,12,133,10,"Chimaera jordani","Chimaera jordani","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Chimaera cubana",160,50.3112925911186,183,39.5393975977017,268,5.6709305788876,206,1.28838971214657,23,108,46,"Chimaera cubana","Chimaera cubana","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","chimaera"
"Rhinochimaera africana",179,48.995294337646,256,35.9395117593857,97,10.6519308558609,44,3.32333327563705,77,-82,-135,"Rhinochimaera africana","Rhinochimaera africana","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","chimaera"
"Rhinochimaera atlantica",180,48.995294337646,237,36.8220066214625,101,10.3981235093778,41,3.42177891589439,57,-79,-139,"Rhinochimaera atlantica","Rhinochimaera atlantica","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","chimaera"
"Hydrolagus mitsukurii",194,48.1113732933472,213,38.0833612617977,169,7.42806833208655,115,1.78083742957343,19,-25,-79,"Hydrolagus mitsukurii","Hydrolagus mitsukurii","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Hydrolagus africanus",195,48.1113732933472,266,35.3888592892988,157,7.76801600699602,95,2.02250442877283,71,-38,-100,"Hydrolagus africanus","Hydrolagus africanus","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","chimaera"
"Harriotta raleighana",197,47.988532905646,313,33.5594853028848,65,13.4373956397742,58,2.60275479482134,116,-132,-139,"Harriotta raleighana","Harriotta raleighana","Holocephali","Chimaeriformes","Rhinochimaeridae","Harriotta","chimaera"
"Zanobatus schoenleinii",1,192.517977687057,1,88.3373492053707,2,39.0845664626033,1,11.231925695106,0,1,0,"Zanobatus schoenleinii","Zanobatus schoenleinii","Elasmobranchii","Myliobatiformes","Zanobatidae","Zanobatus","ray"
"Platyrhinoidis triseriata",2,144.289532417262,2,86.0882753775993,1,39.3159032914086,2,10.8162474362767,0,-1,0,"Platyrhinoidis triseriata","Platyrhinoidis triseriata","Elasmobranchii","Torpediniformes","Platyrhinidae","Platyrhinoidis","ray"
"Hypnos monopterygius",3,142.750439551048,4,79.8975849930137,4,31.514449686493,15,5.5082025949691,1,1,12,"Hypnos monopterygius","Hypnos monopterygius","Elasmobranchii","Torpediniformes","Hypnidae","Hypnos","ray"
"Hexatrygon bickelli",4,138.947657969357,5,77.4443167802238,7,28.1351743918099,213,1.27557093263155,1,3,209,"Hexatrygon bickelli","Hexatrygon bickelli","Elasmobranchii","Myliobatiformes","Hexatrygonidae","Hexatrygon","ray"
"Anoxypristis cuspidata",6,125.9208433425,7,75.9666816654408,9,26.8254738615311,59,2.5849294181462,1,3,53,"Anoxypristis cuspidata","Anoxypristis cuspidata","Elasmobranchii","Rhinopristiformes","Pristidae","Anoxypristis","ray"
"Plesiobatis daviesi",8,119.351624653795,16,71.5302715745735,17,22.6340063049022,473,0.504208863407163,8,9,465,"Plesiobatis daviesi","Plesiobatis daviesi","Elasmobranchii","Myliobatiformes","Plesiobatidae","Plesiobatis","ray"
"Rhina ancylostoma",15,106.454345188761,13,73.2420497988189,14,25.1129108913759,79,2.33076513119926,-2,-1,64,"Rhina ancylostoma","Rhina ancylostomus","Elasmobranchii","Rhinopristiformes","Rhinidae","Rhina","ray"
"Zapteryx brevirostris",16,104.399019047004,9,74.7214437790442,8,26.88202425447,18,5.22166256334549,-7,-8,2,"Zapteryx brevirostris","Zapteryx brevirostris","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Zapteryx","ray"
"Pristis pristis",21,99.6509217549998,17,71.4723132147287,21,21.6981537926421,86,2.10687157704074,-4,0,65,"Pristis pristis","Pristis pristis","Elasmobranchii","Rhinopristiformes","Pristidae","Pristis","ray"
"Trygonorrhina melaleuca",22,99.2866774753372,21,68.3623113979055,16,23.030193729758,14,5.55570813535748,-1,-6,-8,"Trygonorrhina melaleuca","Trygonorrhina dumerilii","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Trygonorrhina","ray"
"Platyrhina hyugaensis",29,89.6606801305955,51,56.8003027563313,33,17.7621441169153,6,7.13170679287804,22,4,-23,"Platyrhina hyugaensis","Platyrhina hyugaensis","Elasmobranchii","Torpediniformes","Platyrhinidae","Platyrhina","ray"
"Dasyatis microps",31,87.3029707076845,39,60.7081664266195,78,11.7023295822981,536,0.385322219398802,8,47,505,"Dasyatis microps","Megatrygon microps","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis","ray"
"Pristis clavata",32,86.9477543016664,29,65.771373211046,46,15.7574846774028,72,2.40927504878832,-3,14,40,"Pristis clavata","Pristis clavata","Elasmobranchii","Rhinopristiformes","Pristidae","Pristis","ray"
"Platyrhina sinensis",35,85.7130482180955,74,52.1986831607991,40,16.6464719788353,13,5.61314281330714,39,5,-22,"Platyrhina sinensis","Platyrhina sinensis","Elasmobranchii","Torpediniformes","Platyrhinidae","Platyrhina","ray"
"Platyrhina tangi",36,85.7130482180955,53,56.6081875544031,51,15.0093253485732,21,4.99772722429849,17,15,-15,"Platyrhina tangi","Platyrhina tangi","Elasmobranchii","Torpediniformes","Platyrhinidae","Platyrhina","ray"
"Aetomylaeus vespertilio",37,84.0944656756753,37,61.0589411511163,68,12.9923787442454,476,0.48965394634554,0,31,439,"Aetomylaeus vespertilio","Aetomylaeus vespertilio","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","ray"
"Rhinobatos penggali",38,84.0319811630774,30,65.4404213465185,28,18.8862373363017,74,2.39646993654373,-8,-10,36,"Rhinobatos penggali","Rhinobatos penggali","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhinobatos","ray"
"Aetobatus flagellum",41,82.5191407171089,45,58.4166469881749,64,13.4640041184978,471,0.52161677910883,4,23,430,"Aetobatus flagellum","Aetobatus flagellum","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","ray"
"Aetobatus narinari",42,82.5191407171089,33,61.8684901373977,39,16.7559632479106,527,0.395026730039921,-9,-3,485,"Aetobatus narinari","Aetobatus narinari","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","ray"
