"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","order","class","superclass","major_group"
"Heterodontus francisci",7,120.577239087092,8,75.853956391848,3,32.4428418556581,3,9.88174609613658,1,-4,-4,"Heterodontiformes","Elasmobranchii","Chondrichthyes","shark"
"Chlamydoselachus anguineus",33,86.620362642149,118,44.2362358821018,24,19.3351458348166,4,7.73883212837806,85,-9,-29,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Chlamydoselachus africana",34,86.620362642149,119,44.2362358821018,25,19.3351458348166,5,7.73883212837806,85,-9,-29,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Heterodontus mexicanus",17,103.119928327092,11,74.1771658850687,19,22.1567995525913,7,6.90291288069968,-6,2,-10,"Heterodontiformes","Elasmobranchii","Chondrichthyes","shark"
"Notorynchus cepedianus",11,108.122896296644,12,73.8148252004901,6,28.9643411235372,9,6.24267693891554,1,-5,-2,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Brachaelurus colcloughi",13,106.983319344262,10,74.2770806728851,13,25.2479759741452,10,5.95823801731953,-3,0,-3,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Brachaelurus waddi",14,106.983319344262,6,75.968119208115,11,26.3353414350832,16,5.4015834057728,-8,-3,2,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Pseudoginglymostoma brevicaudatum",19,102.561570455691,15,72.7168712536865,10,26.5696136024982,20,5.0558169922886,-4,-9,1,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Heptranchias perlo",45,80.786072691644,32,62.3515466352924,34,17.5766643016023,22,4.81098881986209,-13,-11,-23,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Alopias superciliosus",10,108.130378747778,18,71.1998245757383,18,22.5107839368468,24,4.21627187864933,8,8,14,"Lamniformes","Elasmobranchii","Chondrichthyes","shark"
"Hexanchus nakamurai",117,57.2145800853107,258,35.9170521053136,55,14.194845749879,25,4.15978219618663,141,-62,-92,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Hexanchus griseus",116,57.2145800853107,242,36.6148956363764,54,14.2998384583788,26,4.10603057090222,126,-62,-90,"Hexanchiformes","Elasmobranchii","Chondrichthyes","shark"
"Eucrossorhinus dasypogon",25,96.0110490042622,24,67.3229699462031,22,21.2666510326363,27,4.09191819016592,-1,-3,2,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Carcharias taurus",9,110.368168349206,14,73.1204018461554,15,24.5827571689558,29,3.89900095410674,5,6,20,"Lamniformes","Elasmobranchii","Chondrichthyes","shark"
"Mitsukurina owstoni",5,138.616999110635,3,81.9381804783703,5,29.9409127474861,31,3.75008434456861,-2,0,26,"Lamniformes","Elasmobranchii","Chondrichthyes","shark"
"Rhincodon typus",209,47.2858722946908,326,32.81222864887,79,11.6699046588725,36,3.59343832647041,117,-130,-173,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Nebrius ferrugineus",208,47.2858732946908,321,33.1409480826444,76,11.8263230641593,37,3.59343832647041,113,-132,-171,"Orectolobiformes","Elasmobranchii","Chondrichthyes","shark"
"Heterodontus ramalheira",49,78.0040103979493,56,56.1410585946327,83,11.5704177814597,38,3.5580634374958,7,34,-11,"Heterodontiformes","Elasmobranchii","Chondrichthyes","shark"
"Cetorhinus maximus",20,100.944419104206,20,69.6695893493582,23,20.3296236435696,43,3.36860738010478,0,3,23,"Lamniformes","Elasmobranchii","Chondrichthyes","shark"
"Heterodontus portusjacksoni",132,54.1255254929493,139,42.7977102162853,117,9.274158191077,45,3.24428747302574,7,-15,-87,"Heterodontiformes","Elasmobranchii","Chondrichthyes","shark"
