"species","in_ED_top20","in_min0_top20","in_min66_top20","in_min145_top20","n_top20_lists"
"Brachaelurus colcloughi",TRUE,TRUE,TRUE,TRUE,4
"Brachaelurus waddi",TRUE,TRUE,TRUE,TRUE,4
"Heterodontus francisci",TRUE,TRUE,TRUE,TRUE,4
"Heterodontus mexicanus",TRUE,TRUE,TRUE,TRUE,4
"Hypnos monopterygius",TRUE,TRUE,TRUE,TRUE,4
"Notorynchus cepedianus",TRUE,TRUE,TRUE,TRUE,4
"Platyrhinoidis triseriata",TRUE,TRUE,TRUE,TRUE,4
"Pseudoginglymostoma brevicaudatum",TRUE,TRUE,TRUE,TRUE,4
"Zanobatus schoenleinii",TRUE,TRUE,TRUE,TRUE,4
"Zapteryx brevirostris",TRUE,TRUE,TRUE,TRUE,4
"Alopias superciliosus",TRUE,TRUE,TRUE,FALSE,3
"Anoxypristis cuspidata",TRUE,TRUE,TRUE,FALSE,3
"Carcharias taurus",TRUE,TRUE,TRUE,FALSE,3
"Hexatrygon bickelli",TRUE,TRUE,TRUE,FALSE,3
"Mitsukurina owstoni",TRUE,TRUE,TRUE,FALSE,3
"Plesiobatis daviesi",TRUE,TRUE,TRUE,FALSE,3
"Rhina ancylostoma",TRUE,TRUE,TRUE,FALSE,3
"Cetorhinus maximus",TRUE,TRUE,FALSE,FALSE,2
"Dalatias licha",FALSE,TRUE,TRUE,FALSE,2
"Trygonorrhina melaleuca",FALSE,FALSE,TRUE,TRUE,2
"Callorhinchus callorynchus",FALSE,FALSE,FALSE,TRUE,1
"Callorhinchus capensis",FALSE,FALSE,FALSE,TRUE,1
"Callorhinchus milii",FALSE,FALSE,FALSE,TRUE,1
"Chlamydoselachus africana",FALSE,FALSE,FALSE,TRUE,1
"Chlamydoselachus anguineus",FALSE,FALSE,FALSE,TRUE,1
"Leptocharias smithii",TRUE,FALSE,FALSE,FALSE,1
"Platyrhina hyugaensis",FALSE,FALSE,FALSE,TRUE,1
"Platyrhina sinensis",FALSE,FALSE,FALSE,TRUE,1
"Pliotrema warreni",FALSE,FALSE,TRUE,FALSE,1
"Pristis pristis",FALSE,TRUE,FALSE,FALSE,1
"Trigonognathus kabeyai",TRUE,FALSE,FALSE,FALSE,1
"Trygonorrhina dumerilii",FALSE,FALSE,FALSE,TRUE,1
"Trygonorrhina fasciata",FALSE,FALSE,FALSE,TRUE,1
