"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Dasyatis garouaensis",1016,16.0824759676667,1005,14.3094290897667,831,1.63373155562863,804,0.268557293093622,-11,-185,-212,NA,NA,NA,NA,NA,NA,"unknown"
"Dasyatis laosensis",900,19.2175947480001,882,17.4077176798919,821,1.66141755476016,864,0.247491869632574,-18,-79,-36,NA,NA,NA,NA,NA,NA,"unknown"
"Dipturus intermedia",997,16.3241687456309,973,15.1471690739451,1119,0.607861523407518,1165,0.15512154227864,-24,122,168,NA,NA,NA,NA,NA,NA,"unknown"
"Etmopterus schmidti",149,51.8754834779438,148,42.0628616855231,706,2.02900014153463,416,0.617759369043014,-1,557,267,NA,NA,NA,NA,NA,NA,"unknown"
"Glyphis fowlerae",855,20.4555422138651,850,18.2626891401154,924,1.02976820185995,960,0.221960958143988,-5,69,105,NA,NA,NA,NA,NA,NA,"unknown"
"Glyphis sp.1",490,32.0289336808651,445,28.550455795128,927,1.00851133006553,965,0.220299956607449,-45,437,475,NA,NA,NA,NA,NA,NA,"unknown"
"Heliotrygon gomesi",617,28.095358235331,560,25.5294329413745,720,1.98812392797357,784,0.278377861391197,-57,103,167,NA,NA,NA,NA,NA,NA,"unknown"
"Heliotrygon rosai",618,28.095358235331,563,25.4004854625222,734,1.94542783897949,770,0.283544305339752,-55,116,152,NA,NA,NA,NA,NA,NA,"unknown"
"Himantura kittipongi",876,19.7884911937463,879,17.4394990139433,901,1.30359326093859,701,0.311516845132428,3,25,-175,NA,NA,NA,NA,NA,NA,"unknown"
"Makararaja chindwinensis",127,54.6192303386488,107,46.7675997316033,270,5.60750086047349,631,0.331392663878826,-20,143,504,NA,NA,NA,NA,NA,NA,"unknown"
"Myliobatis rhombus",824,21.3884804819073,842,18.4093234794294,479,3.20310122669841,548,0.377234863639832,18,-345,-276,NA,NA,NA,NA,NA,NA,"unknown"
"Narcine bicolor",346,38.3837384640914,358,31.2842741842322,250,5.87686110860223,264,1.0652808235222,12,-96,-82,NA,NA,NA,NA,NA,NA,"unknown"
"Narcine nigra",822,21.475927235264,844,18.3605225131381,488,3.16077663348267,470,0.526353768845692,22,-334,-352,NA,NA,NA,NA,NA,NA,"unknown"
"Okamejei porosa",538,30.438537921808,476,27.6922439082295,1007,0.827980976146694,915,0.235212280174438,-62,469,377,NA,NA,NA,NA,NA,NA,"unknown"
"Paratrygon aiereba",267,42.911609663931,239,36.674729253359,806,1.72823132091763,796,0.27362497389407,-28,539,529,NA,NA,NA,NA,NA,NA,"unknown"
"Parmaturus sp.",967,17.3189508792335,1002,14.3818244809402,691,2.06227870085534,716,0.306255546548195,35,-276,-251,NA,NA,NA,NA,NA,NA,"unknown"
