Species,Mean ED,Median ED,SD ED,Mean rank,Top-20 frequency
Zanobatus schoenleinii,188.5,189.1,21.2,1.2,1.0
Hypnos monopterygius,162.6,159.2,29.4,2.72,1.0
Hexatrygon bickelli,137.6,137.5,14.8,3.73,1.0
Platyrhinoidis triseriata,135.7,135.1,16.1,4.19,1.0
Mitsukurina owstoni,129.4,135.5,24.5,4.99,1.0
Plesiobatis daviesi,117.8,118.1,13.2,7.79,1.0
Anoxypristis cuspidata,117.0,125.5,27.8,9.27,0.95
Carcharias taurus,103.4,107.6,18.4,12.48,1.0
Notorynchus cepedianus,103.4,104.9,14.9,12.95,0.95
Leptocharias smithii,103.9,105.5,23.7,16.15,0.68
Alopias superciliosus,99.9,106.2,21.3,17.4,0.77
Cetorhinus maximus,95.4,98.8,16.2,19.89,0.59
Rhina ancylostoma,98.9,106.6,23.3,19.91,0.75
Chlamydoselachus anguineus,95.1,91.3,16.3,22.26,0.49
Chlamydoselachus africana,95.1,91.3,16.3,23.26,0.48
Brachaelurus colcloughi,92.0,97.4,17.0,24.38,0.28
Pliotrema warreni,92.5,97.3,18.2,24.8,0.32
Hemipristis elongata,91.7,95.2,16.1,25.07,0.12
Brachaelurus waddi,92.0,97.4,17.0,25.38,0.22
Trigonognathus kabeyai,91.1,95.0,18.8,26.81,0.24
